,Powierzchnia,Piętro,room_count,lat,lng,Ludnosc,age,balkon,taras,Winda,Miejsce_parkingowe,Materiał_budynku,Stan_wykończenia,Rodzaj_zabudowy,price
167,38.0,10.0,2.0,52.1475204,21.0489998,90327.38888888888,18.0,1.0,0.0,0,1,0,0,0,2300.0
168,31.0,8.0,1.0,52.1547321,21.0461926,90327.38888888888,20.0,0.0,0.0,0,1,1,0,0,2200.0
169,64.0,6.0,2.0,54.3558397,18.6616867,420796.0,7.0,1.0,0.0,1,0,0,0,0,4700.0
170,38.0,3.0,2.0,52.2323652,21.0608047,90327.38888888888,64.0,0.0,0.0,0,1,0,0,0,3200.0
171,52.0,4.0,3.0,50.0871163,20.0305437,141070.0,1.0,0.0,0.0,1,0,0,0,1,2800.0
172,31.0,3.0,1.0,49.8232815,19.0458984,156307.0,1.0,0.0,0.0,0,1,1,0,0,1800.0
173,73.0,10.0,3.0,50.088847,19.9755773,141070.0,13.0,1.0,0.0,1,0,1,0,0,4000.0
174,49.0,3.0,2.0,50.0533625,19.9113906,141070.0,23.0,1.0,0.0,0,0,0,0,0,2990.0
175,32.0,7.0,2.0,52.2044089,20.8805946,90327.38888888888,2.0,1.0,0.0,1,1,0,0,0,2700.0
176,18.5,4.0,1.0,50.11814039999999,18.9742031,116583.0,16.0,1.0,0.0,0,0,0,0,0,1490.0
177,74.0,6.0,3.0,52.194157,21.0346955,90327.38888888888,19.0,1.0,0.0,1,1,1,0,0,5000.0
178,54.0,4.0,1.0,52.194157,21.0346955,90327.38888888888,20.0,1.0,0.0,1,0,1,0,0,4500.0
179,37.0,7.0,2.0,52.14292260000001,21.0351436,90327.38888888888,17.0,1.0,0.0,1,1,0,0,0,2400.0
180,37.0,1.0,2.0,54.3343,18.1972,13903.4,2.0,1.0,0.0,1,0,1,0,0,1900.0
181,59.0,5.0,2.0,52.2423379,20.9102085,90327.38888888888,16.0,1.0,0.0,1,0,0,0,0,2800.0
182,27.0,1.0,4.0,51.1061993,17.0434105,115516.8,14.0,0.0,0.0,0,1,0,0,0,2500.0
183,36.0,1.0,2.0,52.36403869999999,16.8060372,15708.6,12.0,1.0,0.0,0,0,0,1,0,1600.0
184,58.0,0.0,2.0,52.1307732,21.0775923,90327.38888888888,16.0,0.0,1.0,1,1,1,0,0,2700.0
185,30.0,0.0,2.0,54.0948275,15.0766112,4663.5,1.0,0.0,0.0,0,0,0,0,0,350.0
186,53.5,2.0,2.0,51.763599,18.1096984,91022.0,2.0,1.0,1.0,1,0,0,0,0,2000.0
188,80.0,2.0,4.0,52.1561298,21.1116284,90327.38888888888,13.0,1.0,1.0,1,0,0,0,0,5500.0
189,27.65,3.0,1.0,51.115085,17.0266004,115516.8,2.0,1.0,0.0,1,1,1,1,0,3000.0
190,104.0,3.0,3.0,52.3315907,20.9488553,90327.38888888888,18.0,1.0,0.0,0,1,0,0,0,4500.0
191,62.0,10.0,3.0,52.194157,21.0346955,90327.38888888888,19.0,1.0,0.0,1,1,1,0,0,4000.0
192,67.0,4.0,3.0,50.265909,19.0346563,261379.0,2.0,1.0,0.0,1,1,0,0,0,4300.0
193,36.0,2.0,2.0,51.7709492,19.4617189,120202.8,17.0,0.0,0.0,1,0,1,1,0,1800.0
194,38.0,2.0,2.0,54.1560613,19.4044897,107129.0,20.0,0.0,0.0,1,0,1,0,0,2000.0
195,48.0,2.0,3.0,50.2880914,18.9567196,93189.0,15.0,1.0,0.0,0,1,1,0,0,1600.0
196,130.0,3.0,3.0,51.7709492,19.4617189,120202.8,17.0,0.0,0.0,1,1,1,1,1,5500.0
197,35.0,0.0,2.0,51.0906746,17.0444192,115516.8,11.0,0.0,1.0,0,1,1,1,0,2400.0
198,74.0,3.0,4.0,51.39772199999999,16.2095788,19812.0,14.0,0.0,0.0,0,1,1,1,1,1600.0
199,50.0,0.0,2.0,50.083426,19.8728125,141070.0,2.0,0.0,0.0,1,0,0,1,0,2300.0
200,37.0,0.0,2.0,52.089554,16.9991027,8421.57142857143,9.0,0.0,0.0,1,1,0,0,0,1600.0
202,70.0,8.0,3.0,52.2409067,20.9113297,90327.38888888888,19.0,1.0,0.0,0,1,1,0,1,4200.0
203,107.0,7.0,3.0,52.2296756,21.0122287,90327.38888888888,23.0,0.0,0.0,1,1,1,1,1,6000.0
204,30.0,2.0,1.0,53.1427828,17.951246,301909.0,16.0,0.0,0.0,0,0,1,1,0,1800.0
205,48.0,4.0,2.0,50.2811685,19.1088265,180262.0,15.0,1.0,0.0,1,1,0,0,0,1800.0
206,43.0,3.0,2.0,52.1951226,20.8837885,90327.38888888888,19.0,0.0,0.0,0,1,1,1,1,3400.0
207,33.8,3.0,1.0,50.7777475,19.140226,200317.0,16.0,1.0,0.0,0,1,0,0,0,900.0
208,54.0,2.0,2.0,52.1292293,21.0659048,90327.38888888888,21.0,1.0,0.0,1,0,0,0,0,2900.0
209,48.0,1.0,2.0,53.1791852,18.0346738,11612.1,8.0,1.0,0.0,0,0,0,0,0,2200.0
210,25.2,2.0,1.0,50.0349057,19.9415081,141070.0,17.0,1.0,0.0,0,1,1,1,0,2440.0
211,77.0,3.0,3.0,50.0867182,19.9688631,141070.0,2.0,1.0,0.0,1,0,1,0,0,3500.0
212,40.0,3.0,2.0,50.1021742,18.5462847,125631.0,15.0,0.0,0.0,0,1,1,0,0,1700.0
213,23.0,0.0,1.0,52.6483303,19.0677357,98487.0,19.0,0.0,0.0,0,0,1,0,1,1100.0
214,33.0,2.0,1.0,51.1046791,17.0507465,115516.8,15.0,1.0,0.0,1,0,1,0,0,2400.0
215,22.0,0.0,1.0,49.8223768,19.0583845,156307.0,15.0,0.0,0.0,0,1,1,0,0,1050.0
216,57.0,4.0,2.0,51.9356214,15.5061862,129420.0,14.0,1.0,0.0,1,1,0,0,0,2300.0
217,41.0,3.0,3.0,50.0781448,18.2073538,9855.7,15.0,0.0,0.0,0,1,0,0,0,1700.0
218,33.2,1.0,1.0,50.0343982,19.2097782,11309.384615384615,17.0,0.0,0.0,0,1,1,0,0,1200.0
219,40.0,4.0,2.0,50.0710629,19.9171877,141070.0,38.0,1.0,0.0,0,1,0,0,0,1900.0
220,42.0,4.0,2.0,51.1046791,17.0507465,115516.8,1.0,1.0,0.0,1,0,0,0,0,3100.0
221,84.0,3.0,4.0,53.1267663,23.1998688,268143.0,20.0,1.0,0.0,0,0,0,0,0,3500.0
222,43.0,7.0,2.0,51.1177395,17.0074233,115516.8,15.0,1.0,0.0,1,1,1,1,0,2100.0
223,20.0,2.0,1.0,53.445882,14.544191,347786.0,2.0,0.0,0.0,1,0,1,0,0,1500.0
224,52.0,4.0,2.0,50.8297019,19.1201564,200317.0,15.0,1.0,0.0,0,1,1,0,0,1800.0
225,37.55,1.0,2.0,50.0349057,19.9415081,141070.0,16.0,1.0,0.0,1,1,1,1,1,2780.0
226,33.5,1.0,1.0,50.0953823,18.5459748,125631.0,63.0,1.0,0.0,0,0,0,0,0,1650.0
227,44.0,0.0,2.0,53.4837486,18.753565,79063.0,19.0,0.0,0.0,0,1,0,0,0,1250.0
228,46.5,5.0,2.0,51.115085,17.0266004,115516.8,5.0,1.0,0.0,1,1,0,0,0,4000.0
229,45.0,2.0,2.0,50.28199710000001,19.0243505,261379.0,14.0,1.0,0.0,1,1,1,0,0,1500.0
230,40.07,3.0,2.0,51.7826667,19.5041172,120202.8,3.0,1.0,1.0,1,0,0,0,0,2970.0
231,36.3,7.0,1.0,52.3873827,16.9820374,93138.2,18.0,1.0,0.0,1,1,0,0,0,1250.0
232,60.0,3.0,2.0,52.195069,20.9048204,90327.38888888888,14.0,1.0,0.0,1,0,0,0,0,3100.0
233,82.0,1.0,3.0,52.13785439999999,21.0291229,90327.38888888888,23.0,1.0,0.0,0,0,0,0,0,4500.0
234,90.0,2.0,3.0,52.0811536,21.0238602,16202.545454545454,14.0,0.0,0.0,0,1,0,0,0,3200.0
235,46.0,3.0,2.0,50.0634194,20.0146814,141070.0,17.0,1.0,0.0,0,1,0,0,0,2500.0
236,54.1,9.0,2.0,52.405014,16.916629,93138.2,10.0,1.0,0.0,1,0,1,1,1,3500.0
237,80.0,0.0,2.0,51.772491,19.4770911,120202.8,17.0,0.0,0.0,0,1,0,0,0,2000.0
238,56.0,4.0,3.0,52.2326597,20.8968437,90327.38888888888,2.0,1.0,0.0,1,0,0,0,0,3750.0
239,41.0,2.0,2.0,52.2490166,21.0926138,90327.38888888888,20.0,0.0,0.0,0,1,1,0,0,2490.0
240,68.9,1.0,2.0,51.8148004,19.4444696,120202.8,10.0,1.0,0.0,1,0,0,0,0,3688.0
241,46.0,4.0,2.0,54.3845902,18.5896321,420796.0,4.0,0.0,0.0,0,1,1,1,1,3600.0
